,id_question,question_description,subquestion_description,abbreviated_question
1359,1722,Are you getting help with anything?,The education of your children,Get help with raising children
1360,1723,Do you have for your home:,Do you have: a burglar alarm system,Burglar alarm system for my home
1361,1724,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,There is ample parking in my neighborhood.,There is ample parking in my neighborhood
1362,1725,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At school / in the schoolyard,Meet the people from my neighborhood at school / in the schoolyard
1363,1726,Which of the following activity(s) applies to you?,I do paid work for less than 12 hours a week (1-11 hours).,Do paid work (1-11 hours per week)
1364,1727,On what basis did you feel you were treated unfairly or unequally?,Life beliefs / religion / faith (recalculated without N/A),Feeling of being treated unfairly/unequally on belief/religion (recalculated without N/A)
1365,1814,Has there been an increase in nuisance caused by people with confused behavior in your neighborhood in recent years? (recalculated without N/A/no),(recalculated without N/A/no),Increase in nuisance caused by people with confused behaviour
1366,1728,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,"I live in a nice neighbourhood, where people help each other and do things together.",Live in a nice neighborhood
1367,1730,Can you manage well when it comes to:,your physical health,Copes well with physical health
1368,1731,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Young people hanging around,Youth loitering is (sometimes) common in my neighborhood
1369,1732,"During the past 12 months, how often did you do the following activities in your spare time?",Giving or following courses or lessons (for leisure).,Often giving/following courses or lessons
1370,1733,To what extent do you agree or disagree with the following statements about the municipality?,The council does what it says.,The council does what it says
1371,1734,Why didn't you report it to the municipality?,I didn't know you could report this to the municipality,Didn't know you could report it to the council
1372,1735,Are you getting help with anything?,Household chores,Get help with household chores
1373,1736,On what basis did you feel you were treated unfairly or unequally?,Age,Feeling of being treated unfairly/unequally in age
1374,1737,What do you think of the following statements about your current home?,The rent / my mortgage is actually too high for my income,Rent / Mortgage actually too high for my income
1375,1742,Are you someone who,manages to get through difficult times,Knows how to get through difficult times
1376,1743,What is the main reason you don't want to move?,What is the main reason you don't want to move?,Main reason not to move
1377,1745,What were the main reasons you moved at the time?,Because of the house itself,Moved because of the house itself
1378,1746,Does it ever happen that you à,don't feel comfortable being home alone at night?,Feels uncomfortable alone at home
1379,1747,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",Appearance,Appearance changed in my neighborhood
1380,1748,Do you have for your home:,Do you have: roller shutters or shutters for windows and/or doors,Roller shutters/shutters for my home
1381,1749,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,There is plenty of greenery in my neighbourhood.,There is plenty of greenery in my neighbourhood
1382,1750,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,shops for daily shopping,Satisfied with shops for daily shopping
1383,1751,Where or when was this?,On the street in my neighborhood,Treated unfairly/unequally on the street in my neighbourhood
1384,1752,Are you getting help with anything?,Administration / finance,Get help with administration/finance
1385,1753,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,public transport,Satisfied with the public transport offer
1386,1755,Are you getting help with anything?,"Your general daily activities: washing, dressing, going to the toilet, eating, etc.",Get help with daily activities
1387,1756,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Youth crime,Juvenile delinquency is (sometimes) common in my neighborhood
1388,1760,Do you want to sign up for,Feedback results,Specified for feedback results
1389,1761,Where or when was this?,In cafe / restaurant or other place of entertainment,Treated unfairly/unequally in a bar/restaurant or other place of entertainment
1390,1762,Are you someone who,picks up the thread easily when it has been against it for a while,Can easily pick up the wire
1391,1763,What were the main reasons you moved at the time?,Living environment / residential area,Moved due to environment / residential area
1392,1765,To what extent do you agree or disagree with the statements below?,The use of supervisors increases safety in my neighbourhood.,The use of supervisors increases safety in my neighbourhood.
1393,1766,Are you someone who,faces changes,Be wary of changes
1394,1767,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Nuisance by local residents,Nuisance caused by local residents is common in my neighbourhood
1395,1768,What were the main reasons you moved at the time?,Current home not suitable for the elderly,Moved due to unsuitable housing for the elderly
1396,1770,On what basis did you feel you were treated unfairly or unequally?,Sex,Feeling unfair/unequally treated by gender
1397,1771,What were the main reasons you moved at the time?,Parting,Moved due to divorce
1398,1772,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Theft of wallet, bag, phone, tablet or laptop",Been a victim of theft wallet/bag/phone/tablet/laptop
1399,2017,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At home together,Meet the people from my neighborhood at each other's homes
1400,1773,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Street furniture, such as garbage cans, benches and bus shelters, that has been destroyed",Destroyed street furniture is (sometimes) common in my neighborhood
1401,1775,Which of the following activity(s) applies to you?,I do not work because I am long-term sick or incapacitated for work.,Do not work because I am long-term ill or incapacitated for work
1402,1776,What type of living environment do you want?,What type of living environment do you want?,Moving to what kind of living environment
1403,1777,Can you manage well when it comes to:,household chores (recalculated without N/A),Copes well with household chores (recalculated without N/A)
1404,1780,To what extent do you agree with the following statements?,"In the past year I have helped family, friends or neighbors more often","Helped family, friends or neighbors more often"
1405,1784,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Defaced walls or buildings/graffiti,Daubed walls/buildings and graffitti are (sometimes) common in my neighbourhood
1406,1785,What do you think of the following statements about your current home?,The house needs urgent maintenance,Urgent maintenance
1407,1787,On what basis did you feel you were treated unfairly or unequally?,Origin / Skin color (recalculated without N/A),Feeling of being treated unfairly/unequally based on origin/skin color (recalculated without N/A)
1408,1788,Do you have for your home:,Do you have: extra security locks or latches on the outside doors,Extra security locks/bolts on the outside doors of my home
1409,1789,Please indicate the extent to which each of the following statements applies to you as you have been lately?,There are enough people with whom I feel close.,Enough people with whom I feel closely connected
1410,1791,Has the following happened to you or anyone else in your household in the past 12 months?,Hacking,Hacking occurred in household
1411,1792,What were the main reasons you moved at the time?,Marriage / cohabitation,moved due to marriage/cohabitation
1412,1793,To what extent do you agree with the following statements?,In the past year I have started exercising more,Exercise more
1413,1794,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I have a lot of contact with other local residents.,Lots of contact with other local residents
1414,1795,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Threat of physical violence,Been a victim of threats of physical violence
1415,1796,What did you do then? (More answers possible),helped him/herself,helped him/herself
1416,1797,Can you manage well when it comes to:,"your general daily activities: washing, dressing, going to the toilet, eating, etc.",Copes well with general daily activities
1417,1798,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Aggressive behavior in traffic,Aggressive behavior in traffic is (sometimes) common in my neighbourhood
1418,1799,What were the main reasons you moved at the time?,Favorable time to sell a home,Moved due to favorable period to sell house
1419,1802,Can you manage well when it comes to:,your psychological/mental health (recalculated without N/A),Copes well with mental/mental health (recalculated without N/A)
1420,1803,Do you want a new or an existing home or a building plot?,What do you prefer?,Preference existing house or plot
1421,1804,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Illegal activity,Illegal activity occurs in the area
1422,1805,To what extent do you agree with the following statements?,In the past year I have gained more confidence in the future,More confidence in the future
1423,1806,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Help with the maintenance of public green spaces.,Help with maintenance of public green spaces
1424,1807,On what basis did you feel you were treated unfairly or unequally?,Sexual preference,Feeling of being treated unfairly/unequally on sexual preference
1425,1808,Can you manage well when it comes to:,entering into and maintaining social contacts (recalculated without N/A),Copes well with establishing and maintaining social contacts (recalculated without N/A)
1426,1809,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,I hardly have any contact with people in my neighbourhood,I hardly have any contact with people in my neighbourhood
1427,1811,Do you want to sign up for,Follow-up research,Submitted for further investigation
1428,1812,In which of the following associations / organizations have you been active in the past 12 months? Sports association,At school / education / childcare,Active at school/education/childcare
1429,1813,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I feel at home with the people who live in the area.,Feel at home with the people who live in the area
1430,1815,Has there been an increase in nuisance caused by people with confused behavior in your neighborhood in recent years? (recalculated without N/A/no),(recalculated without N/A/no),Increase in nuisance caused by people with confused behaviour
1431,1816,Has there been an increase in nuisance caused by people with confused behavior in your neighborhood in recent years? (recalculated without N/A/no),(recalculated without N/A/no),Increase in nuisance caused by people with confused behaviour
1432,1817,Has there been an increase in nuisance caused by people with confused behavior in your neighborhood in recent years? (recalculated without N/A/no),(recalculated without N/A/no),Increase in nuisance caused by people with confused behaviour
1433,1818,Has there been an increase in nuisance caused by people with confused behavior in your neighborhood in recent years? (recalculated without N/A/no),(recalculated without N/A/no),Increase in nuisance caused by people with confused behaviour
1434,1819,Please indicate the extent to which each of the following statements applies to you as you have been lately?,In miss people around me.,Miss people around me
1435,1821,To what extent do you agree or disagree with the following statements about the municipality?,The municipality appeals to local residents to contribute to quality of life and safety.,The municipality appeals to local residents to contribute to quality of life and safety
1436,1822,To what extent do you agree with the following statements?,In the past year I have started to feel more involved in the neighborhood where I live,Feels more involved with the neighborhood where I live
1437,1824,Can you manage well when it comes to:,administration/finance,Can manage well with administration / finances
1438,1825,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Help with cleaning/maintaining the neighborhood.,Help with cleaning/maintaining the neighborhood
1439,1827,"If you need help or care, you can fall back on:",family,Can rely on family
1440,1828,What were the main reasons you moved at the time?,For financial reasons,Moved for financial reasons
1441,1829,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Drug deal premises,Drug deal premises are common in the area
1442,1832,On what basis did you feel you were treated unfairly or unequally?,Disability / Chronic illness,Feeling unfair/unequally treated by gender
1443,1833,Do you want to sign up for,Digipanel,Specified for digipanel
1444,1834,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Damage or destruction (to your home or garden),Been a victim of damage/destruction to your home/garden
1445,1836,To what extent do you agree or disagree with the following statements about the municipality?,"The municipality sufficiently involves citizens in its plans, activities and facilities.","The municipality sufficiently involves citizens in its plans, activities and facilities"
1446,1837,What is the main reason you don't want to move?,Open answer to closed question,Main reason not to move
1447,1839,Do you feel co-responsible for the quality of life and safety in your neighbourhood? (recalculated without N/A),(recalculated without N/A/no),Feels co-responsible for the quality of life and safety of my neighborhood (recalculated without N/A)
1448,1840,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At the sports club,Meet the people from my neighborhood at the sports club
1449,1841,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",The safety,Security has changed in my neighborhood
1450,1842,Can you manage well when it comes to:,your psychological/mental health,Copes well with mental/mental health
1451,1843,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Drug use or drug trafficking, for example on the street or in coffee shops",Drug use is common in my neighborhood
1452,1844,On what basis did you feel you were treated unfairly or unequally?,Sexual preference (recalculated without N/A),Feeling of being treated unfairly/unequally based on sexual preference (recalculated without N/A)
1453,1845,On what basis did you feel you were treated unfairly or unequally?,Life beliefs / religion / faith,Feeling of being treated unfairly/unequally on belief/religion
1454,1846,What were the main reasons you moved at the time?,Health / need for extra care,Relocated due to health/care needs
1455,1848,Can you manage well when it comes to:,"your general daily activities: washing, dressing, going to the toilet, eating, etc. (recalculated without N/A)",Copes well with general daily activities (recalculated without N/A)
1456,1849,What were the main reasons you moved at the time?,Live independently,Moved to live independently
1457,1850,"Have you or anyone in your household experienced cyberbullying (gossip, taunting, bullying, stalking, blackmail or threats over the internet) in the past 12 months?",Your child/(TTn of) your children,Child(ren) experienced cyberbullying
1458,1851,What were the main reasons you moved at the time?,Wants to move closer to parents/children,Moved to live closer to parents/children
1459,1853,Are you getting help with anything?,Your physical health,Get help with physical health
1460,1855,Do you have for your home:,Do you have: agreements about escaping the house in the event of a fire,Agreements about escaping the house in the event of a fire
1461,1856,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Burglary in your home, with theft",Been a victim of burglary/theft at home
1462,1857,What were the main reasons you moved at the time?,Because of study / work,Moved because of study/work
1463,1858,On what basis did you feel you were treated unfairly or unequally?,Gender (recalculated without N/A),Feeling of being treated unfairly/unequally by gender (recalculated without N/A)
1464,1859,Has the following happened to you or anyone else in your household in the past 12 months?,Identity fraud,Identity fraud occurred in household
1465,1860,Why didn't you report it to the municipality?,It doesn't help anyway,It does not help to report to the municipality
1466,1861,To what extent do you agree or disagree with the following statements about the municipality?,The municipality listens to the opinion of its citizens.,The municipality listens to the opinion of its citizens
1467,1862,Can you manage well when it comes to:,the education of your children (recalculated without N/A),Copes well with raising children (recalculated without N/A)
1468,1863,"The Municipality of Breda has an online citizen panel: DigiPanel Breda. A few times a year, residents of Breda are asked for their opinion in a short survey.",Open answer to closed question,Opinion Bredanaars
1469,1864,Which of the following activity(s) applies to you?,I am taking part in a reintegration programme.,Participate in reintegration process
1470,1865,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,sports options,Satisfied with the range of sports options
1471,1866,Where or when was this?,When finding a (rental) house,Unfair/unequally treated when finding a (rental) home
1472,1867,Where or when was this?,"Other, namely (recalculated without N/A)","Other, namely (recalculated without N/A)"
1473,1869,What do you think of the following statements about your current home?,The house is too small.,House is too small
1474,1870,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Other theft,Been a victim of other theft
1475,1871,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,"Online (Facebook, Instagram, Snapchat, etc.)",Meet the people near me online
1476,1872,Why didn't you report it to the municipality?,For fear of reaction or revenge,Not reported for fear of reaction or revenge
1477,1873,What were the main reasons you moved at the time?,I wanted to buy a home instead of renting,Moved to buy a house instead of renting
1478,1875,What did you do then? (More answers possible),Reported to the police or emergency center (112),Reported to the police/emergency center for people who cause nuisance in the neighbourhood
1479,1876,To what extent do you agree with the following statements?,In the past year I have gained more confidence in myself,Gained more confidence in myself
1480,1877,Are you someone who,"easily call in friends, family or acquaintances if necessary",Easily engages friends/family/acquaintances
1481,1878,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,(Members of) Motorcycle Gangs,(Members of) motorcycle gangs are common in the area
1482,1879,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,(Street) Prostitution,(Street) prostitution occurs in the area
1483,1881,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,I hardly have any contact with people in my neighbourhood,I hardly have any contact with people in my neighbourhood
1484,1882,Where or when was this?,On the street in my neighborhood (recalculated without N/A),Treated unfairly/unequally on the street in my neighborhood (recalculated without N/A)
1485,1884,Are you getting help with anything?,"Walking, sitting and standing","Get help walking, sitting, and standing"
1486,1885,Can you manage well when it comes to:,household chores (recalculated without N/A),Copes well with household chores (recalculated without N/A)
1487,1886,Can you manage well when it comes to:,"walking, sitting and standing","Can manage well with walking, sitting and standing"
1488,1887,What did you do then? (More answers possible),"Reported to another organisation: GGD Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution","Reported to the following organisation: GGD, Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution"
1489,1888,Can you manage well when it comes to:,establishing and maintaining social contacts,Can cope well with entering into and maintaining social contacts
1490,1890,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Women and girls who are whistled at in the street, shouted at, or receive unwanted attention in any other way",Unwanted attention on the street
1491,1891,To what extent have you committed yourself to others in the past 12 months?,"helping neighbors (helping with odd jobs, errands, etc.)",Give help to neighbours
1492,1893,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I wouldn't be so quick to leave this neighborhood.,Don't leave this area any time soon
1493,1894,On what basis did you feel you were treated unfairly or unequally?,Sexual preference,Feeling of being treated unfairly/unequally on sexual preference
1494,1896,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,In the community center/community house,Meet the people from my neighborhood at the community center / community center
1495,1900,On what basis did you feel you were treated unfairly or unequally?,Life beliefs / religion / faith,Feeling of being treated unfairly/unequally on belief/religion
1496,1901,Where or when was this?,In cafe / restaurant or other place of entertainment (recalculated without N/A),Unfairly/unequally treated in bar/restaurant or other place of entertainment (recalculated without N/A)
1497,1902,To what extent do you agree with the following statements?,In the past year I have gained more confidence in the future,More confidence in the future
1498,1903,To what extent have you committed yourself to others in the past 12 months?,informal care to a friend who does not live in your neighbourhood,Provide informal care to a friend who does not live in my neighbourhood
1499,1904,Has the following happened to you or anyone else in your household in the past 12 months?,Sales fraud,Sales fraud occurred in household
1500,1905,Which of the following activity(s) applies to you?,I am studying/following a course/at school.,Study/get an education/go to school
1501,1906,To what extent do you agree with the following statements?,In the past year I have started exercising more,Exercise more
1502,1908,Do you have for your home:,Do you have: a burglar alarm system,Burglar alarm system for my home
1503,1909,Are you someone who,faces changes,Be wary of changes
1504,1910,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,Elsewhere:,Meet the people from my neighborhood somewhere else
1505,1912,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Young people hanging around,Youth loitering is (sometimes) common in my neighborhood
1506,1913,Can you manage well when it comes to:,shopping,Can manage well with shopping
1507,1914,What were the main reasons you moved at the time?,For financial reasons,Moved for financial reasons
1508,1915,What were the main reasons you moved at the time?,Wants to move closer to parents/children,Moved to live closer to parents/children
1509,1916,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Other (leisure) association,Active in other (leisure) associations
1510,1917,What were the main reasons you moved at the time?,Because of the house itself,Moved because of the house itself
1511,1918,To what extent have you committed yourself to others in the past 12 months?,informal care to a friend who does not live in your neighbourhood,Provide informal care to a friend who does not live in my neighbourhood
1512,1919,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the quality of the housing,Satisfied with the quality of the homes
1513,1922,Do you want to sign up for,Digipanel,Specified for digipanel
1514,1923,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Religious or social association,Active in religious or social association
1515,1924,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Exploitation of human beings/trafficking,Human exploitation/trafficking occurs in the area
1516,1925,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Companies that legalize criminal money (money laundering),Companies that make criminal money legal are common in my neighborhood
1517,1926,In which of the following associations / organizations have you been active in the past 12 months? Sports association,I have not been active in club life,Not active in community life
1518,1928,Can you manage well when it comes to:,your physical health,Copes well with physical health
1519,1929,What type of house do you live in?,What type of house do you live in?,Type of house
1520,1930,What were the main reasons you moved at the time?,Poor landlord service,Moved due to poor service landlord
1521,1931,Where or when was this?,At School / Training / Internship,Treated unfairly/unequally at school/education/internship
1522,1932,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,healthcare facilities,Satisfied with the range of health care facilities in the area
1523,1933,To what extent do you agree with the following statements?,In the past year I have started to feel more involved in the neighborhood where I live,Feels more involved with the neighborhood where I live
1524,1934,On what basis did you feel you were treated unfairly or unequally?,Origin / Skin color (recalculated without N/A),Feeling of being treated unfairly/unequally based on origin/skin color (recalculated without N/A)
1525,1935,On what basis did you feel you were treated unfairly or unequally?,Age,Feeling of being treated unfairly/unequally in age
1526,1936,Why didn't you report it to the municipality?,For fear of reaction or revenge,Not reported for fear of reaction or revenge
1527,1937,Would you like to indicate with a score how satisfied or dissatisfied you are with:,road safety in the area,Satisfied with the road safety in the neighbourhood
1528,1938,In which of the following associations / organizations have you been active in the past 12 months? Sports association,I have not been active in club life,Not active in community life
1529,1939,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I have a lot of contact with other local residents.,Lots of contact with other local residents
1530,1941,On what basis did you feel you were treated unfairly or unequally?,Disability / Chronic illness (recalculated without N/A),Feeling of being treated unfairly/unequally by gender (recalculated without N/A)
1531,1942,Where or when was this?,On the street in my neighborhood (recalculated without N/A),Treated unfairly/unequally on the street in my neighborhood (recalculated without N/A)
1532,1943,Where or when was this?,When finding a (rental) house,Unfair/unequally treated when finding a (rental) home
1533,1945,Are you getting help with anything?,Administration / finance,Get help with administration/finance
1534,1946,What do you think of the following statements about your current home?,The house is outdated.,House is outdated
1535,1947,Can you manage well when it comes to:,entering into and maintaining social contacts (recalculated without N/A),Copes well with establishing and maintaining social contacts (recalculated without N/A)
1536,1948,What did you do then? (More answers possible),Nothing,Nothing done with people who cause nuisance in the neighborhood
1537,1949,Where or when was this?,At work / when finding work,Treated unfairly/unequally at work/when looking for work
1538,1950,To what extent do you agree or disagree with the following statements about the municipality?,The municipality listens to the opinion of its citizens.,The municipality listens to the opinion of its citizens
1539,1951,"If you need help or care, you can fall back on:",family,Can rely on family
1540,1952,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Traffic noise pollution,Traffic noise is (sometimes) common in my neighbourhood
1541,1953,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Traffic noise pollution,Traffic noise is (sometimes) common in my neighbourhood
1542,1954,What do you think of the following statements about your current home?,The house is poorly maintained.,Property is poorly maintained
1543,1955,Can you manage well when it comes to:,the education of your children (recalculated without N/A),Copes well with raising children (recalculated without N/A)
1544,1956,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the safety in your area,Satisfied with neighborhood safety
1545,1957,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Illegal activity,Illegal activity occurs in the area
1546,1958,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,"I live in a nice neighbourhood, where people help each other and do things together.",Live in a nice neighborhood
1547,1959,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Women and girls who are whistled at in the street, shouted at, or receive unwanted attention in any other way",Unwanted attention on the street
1548,1960,On what basis did you feel you were treated unfairly or unequally?,Age,Feeling of being treated unfairly/unequally in age
1549,1961,Are you getting help with anything?,Establishing and maintaining social contacts,Help with establishing and maintaining social contacts
1550,1962,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,In the community center/community house,Meet the people from my neighborhood at the community center / community center
1551,1963,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At home together,Meet the people from my neighborhood at each other's homes
1552,1964,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Helping organize (social and/or youth) activities for the neighbourhood.,Help organize activities for the neighborhood
1553,1965,Which of the following activity(s) applies to you?,I do paid work for less than 12 hours a week (1-11 hours).,Do paid work (1-11 hours per week)
1554,1966,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Aggressive behavior in traffic,Aggressive behavior in traffic is (sometimes) common in my neighbourhood
1555,1967,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At home together,Meet the people from my neighborhood at each other's homes
1556,1968,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,"streets, paths and sidewalks in my neighborhood are passable.","Streets, paths and sidewalks in my neighborhood are passable"
1557,1969,Do you have for your home:,Do you have: a working smoke detector,Working smoke detector for my home
1558,1970,Are you someone who,manages to get through difficult times,Knows how to get through difficult times
1559,1971,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Drug use or drug trafficking, for example on the street or in coffee shops",Drug use is common in my neighborhood
1560,1972,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",The atmosphere,The atmosphere has changed in my neighborhood
1561,1973,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,My neighborhood is clean.,My neighborhood is clean
1562,1976,"The Municipality of Breda has an online citizen panel: DigiPanel Breda. A few times a year, residents of Breda are asked for their opinion in a short survey.",Would you like to become a member of this DigiPanel Breda?,Am a member of DigiPanel Breda
1563,1977,Can you manage well when it comes to:,your psychological/mental health (recalculated without N/A),Copes well with mental/mental health (recalculated without N/A)
1564,1978,To what extent have you committed yourself to others in the past 12 months?,"helping neighbors (helping with odd jobs, errands, etc.)",Give help to neighbours
1565,1979,Can you manage well when it comes to:,your physical health,Copes well with physical health
1566,1980,What were the main reasons you moved at the time?,Parting,Moved due to divorce
1567,1981,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,healthcare facilities,Satisfied with the range of health care facilities in the area
1568,1982,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Nuisance from vagrants and homeless people,Nuisance from vagrants/homeless people is (sometimes) common in my neighbourhood
1569,1983,To what extent do you agree with the following statements?,In the past year I have started to feel more involved in the neighborhood where I live,Feels more involved with the neighborhood where I live
1570,1984,Can you manage well when it comes to:,household chores,Copes well with household chores
1571,1986,On what basis did you feel you were treated unfairly or unequally?,Disability / Chronic illness,Feeling unfair/unequally treated by gender
1572,1987,What type of house do you live in?,What type of house do you live in?,Type of house
1573,1988,To what extent have you committed yourself to others in the past 12 months?,informal care to a family member or relative,Provide informal care to family member/relative
1574,1989,What type of house do you live in?,What type of house do you live in?,Type of house
1575,1990,"During the past 12 months, how often did you do the following activities in your spare time?",Sports activities (sports yourself or attending sports competitions).,Often sporting activities
1576,1991,What did you do then? (More answers possible),Nothing,Nothing done with people who cause nuisance in the neighborhood
1577,1992,On what basis did you feel you were treated unfairly or unequally?,Disability / Chronic illness,Feeling unfair/unequally treated by gender
1578,1993,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I wouldn't be so quick to leave this neighborhood.,Don't leave this area any time soon
1579,1995,On what basis did you feel you were treated unfairly or unequally?,Sex,Feeling unfair/unequally treated by gender
1580,1996,Why didn't you report it to the municipality?,Didn't feel like it or had time for it,Didn't feel like / had time to report to the municipality
1581,1998,What type of house do you live in?,Open answer to closed question,Different kind of house
1582,2000,Which of the following activity(s) applies to you?,I am a housewife/househusband.,I am a housewife/househusband
1583,2001,What were the main reasons you moved at the time?,Live independently,Moved to live independently
1584,2002,Do you want to sign up for,Raffle,Submitted for raffle
1585,2003,Are you getting help with anything?,"Walking, sitting and standing","Get help walking, sitting, and standing"
1586,2004,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,public transport,Satisfied with the public transport offer
1587,2005,What type of residential area do you currently live in?,What type of residential area do you currently live in?,What type of residential area do you currently live in?
1588,2007,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Threat,Threats are common in my neighborhood
1589,2008,Do you want to sign up for,Raffle,Submitted for raffle
1590,2009,To what extent do you agree or disagree with the following statements about the municipality?,The municipality listens to the opinion of its citizens.,The municipality listens to the opinion of its citizens
1591,2010,What did you do then? (More answers possible),helped him/herself,helped him/herself
1592,2011,To what extent do you agree or disagree with the following statements about the municipality?,"The municipality sufficiently involves citizens in its plans, activities and facilities.","The municipality sufficiently involves citizens in its plans, activities and facilities"
1593,2012,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Other (leisure) association,Active in other (leisure) associations
1594,2013,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Illegal activity,Illegal activity occurs in the area
1595,2014,Can you manage well when it comes to:,your psychological/mental health (recalculated without N/A),Copes well with mental/mental health (recalculated without N/A)
1596,2015,What did you do then? (More answers possible),"Reported to another organisation: GGD Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution","Reported to the following organisation: GGD, Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution"
1597,2016,What were the main reasons you moved at the time?,I wanted a rental home instead of a home for sale,Moved to rent instead of buy
