VraagKey,VraagOmschrijving,DeelVraagOmschrijving,Verkorte_Vraagstelling
1767,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Overlast door buurtbewoners,Overlast door buurtbewoners komen vaak voor in mijn buurt
1768,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Huidige woning niet geschikt voor ouderen,Verhuisd vanwege ongeschikte woning voor ouderen
1769,Hoe denkt u dat Bredanaars die niet in uw buurt wonen tegen uw buurt aankijken?,,Hoe denkt u dat Bredanaars die niet in uw buurt wonen tegen uw buurt aankijken?
1770,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Geslacht,Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht
1771,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Scheiding,Verhuisd vanwege scheiding
1772,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Diefstal van portemonnee, tas, telefoon, tablet of laptop",Slachtoffer geweest van diefstal portemonnee/tas/telefoon/tablet/laptop
2017,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Bij elkaar thuis,Ontmoet de mensen uit mijn buurt bij elkaar thuis
1773,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Straatmeubilair, zoals vuilnisbakken, bankjes en bushokjes, dat vernield is",Vernielde straatmeubilair komt (soms) vaak voor in mijn buurt
1774,Buurt op basis importbestand,Onbekend,
1775,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik werk niet omdat ik langdurig ziek of arbeidsongeschikt ben.,Werk niet omdat ik langdurig ziek of arbeidsongeschikt ben
1776, Naar welk soort woonomgeving wilt u ?, Naar welk soort woonomgeving wilt u ?,Verhuizen naar welk soort woonomgeving
1777,Kunt u zich goed redden als het gaat om: ,huishoudelijke taken (herberekend zonder nvt),Kan zich goed redden met huishoudelijke taken (herberekend zonder nvt)
1778,Kunt u via een rapportcijfer aangeven hoe tevreden u bent over de wijze waarop de gemeente zich inzet voor de leefbaarheid en veiligheid bij u in de buurt?,,Rapportcijfer inzet gemeente voor de leefbaarheid en veiligheid in de buurt
1779,"Voelt u zich vaak, soms of zelden onveilig?",,Voelt zich vaak onveilig
1780,In hoeverre kunt u zich vinden in de volgende uitspraken?,"In het afgelopen jaar heb ik familie, vrienden of buren vaker geholpen","Familie, vrienden of buren vaker geholpen"
1781,Heeft u in het afgelopen jaar een melding bij de gemeente gedaan van een probleem op het gebied van leefbaarheid of veiligheid?,"Ja, ik heb een medling gedaan + 6 andere antwoorden",
1782,Wilt u binnen twee jaar verhuizen?,,Wilt binnen 2 jaar verhuizen
1783,In welke prijsklasse (koopwoning) valt uw huidige woning?   (u kunt uitgaan van de WOZ-waarde),,prijsklasse (koopwoning) huidige woning?  
1784,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Bekladde muren of gebouwen/graffiti,Bekladde muren/gebouwen en graffitti komt (soms) vaak voor in mijn buurt
1785,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning heeft dringend onderhoud nodig,Dringend onderhoud
1786,Hoe ziet de samenstelling van uw huishouden op dit adres er uit?,,Hoe ziet de samenstelling van uw huishouden op dit adres er uit?
1787,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Herkomst / Huidskleur (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op herkomst/huidskleur (herberekend zonder nvt)
1788,Heeft u voor uw woning:,Heeft u: extra veiligheidssloten of grendels op de buitendeuren,Extra veiligheidssloten/grendels op de buitendeuren van mijn woning 
1789,"Wilt u van elk van de volgende uitspraken aangeven in hoeverre die op u, zoals u de laatste tijd bent, van toepassing is?",Er zijn voldoende mensen met wie ik mij nauw verbonden voel.,Voldoende mensen met wie ik mij nauw verbonden voel
1790,In welke huurklasse of prijsklasse (koopwoning) viel uw vorige woning?,13 antwoorden,
1791,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Hacken,Hacken voorgekomen in huishouden
1792,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Huwelijk / samenwonen,verhuisd door huwelijk/samenwonen
1793,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar ben ik meer gaan sporten,Meer gaan sporten
1794,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik heb veel contact met andere buurtbewoners.,Veel contact met andere buurtbewoners
1795,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Bedreiging met lichamelijk geweld,Slachtoffer geweest van bedreiging met lichamelijk geweld
1796,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Hem/haar zelf geholpen,Hem/haar zelf geholpen
1797,Kunt u zich goed redden als het gaat om:,"uw algemene dagelijkse activiteiten: wassen, aankleden, naar toilet gaan, eten, e.d.",Kan zich goed redden met algemene dagelijkse activiteiten
1798,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Agressief gedrag in het verkeer,Agressief gedrag in het verkeer komt (soms) vaak voor in mijn buurt
1799,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Gunstige periode om woning te verkopen,Verhuisd vanwege gunstige periode om woning te verkopen
1800,Wilt u zich opgeven voor,Geen van alle,
1801,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Open antwoord bij gesloten vraag,
1802,Kunt u zich goed redden als het gaat om: ,uw psychische/geestelijke gezondheid (herberekend zonder nvt),Kan zich goed redden met psychische/geestelijke gezondheid (herberekend zonder nvt)
1803, Wilt u een nieuwe of een bestaande woning of een bouwkavel?, Waar gaat uw voorkeur naar uit?,Voorkeur bestaande woning of kavel
1804,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Illegale bedrijvigheid,Illegale bedrijvigheid komen voor in de buurt
1805,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer vertrouwen gekregen in de toekomst,Meer vertrouwen gekregen in de toekomst
1806,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het onderhoud van het openbaar groen.,Helpen met onderhoud van het openbaar groen
1807,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Seksuele voorkeur,Gevoel oneerlijk/ongelijk behandeld te zijn op seksuele voorkeur
1808,Kunt u zich goed redden als het gaat om: ,het aangaan en onderhouden van sociale contacten (herberekend zonder nvt),Kan zich goed redden met het aangaan en onderhouden van sociale contacten (herberekend zonder nvt)
1809,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Ik heb nauwelijks/geen contact met mensen uit mijn buurt,Heb nauwelijks/geen contact met mensen uit mijn buurt
1810,In welke mate voelt u zich gelukkig?,,In welke mate voelt u zich gelukkig?
1811,Wilt u zich opgeven voor,Vervolgonderzoek,Opgegeven voor vervolgonderzoek
1812,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Op school / het onderwijs / kinderopvang,Actief op school/hetonderwijs/kinderopvang
1813,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik voel me thuis bij de mensen die in de buurt wonen.,Voel me thuis bij de mensen die in de buurt wonen
1815,Is er de afgelopen jaren een toename van overlast door mensen met verward gedrag in uw buurt? (herberekend zonder nvt/nee),(herberekend zonder nvt/nee),Toename van overlast door mensen met verward gedrag
1816,Is er de afgelopen jaren een toename van overlast door mensen met verward gedrag in uw buurt? (herberekend zonder nvt/nee),(herberekend zonder nvt/nee),Toename van overlast door mensen met verward gedrag
1817,Is er de afgelopen jaren een toename van overlast door mensen met verward gedrag in uw buurt? (herberekend zonder nvt/nee),(herberekend zonder nvt/nee),Toename van overlast door mensen met verward gedrag
1818,Is er de afgelopen jaren een toename van overlast door mensen met verward gedrag in uw buurt? (herberekend zonder nvt/nee),(herberekend zonder nvt/nee),Toename van overlast door mensen met verward gedrag
1819,"Wilt u van elk van de volgende uitspraken aangeven in hoeverre die op u, zoals u de laatste tijd bent, van toepassing is?",In mis mensen om me heen.,Mis mensen om me heen
1820,Heeft u het afgelopen jaar iets ondernomen om aan een andere woning te komen? (zelfs advertenties lezen en nagaan wat u zou willen bij verhuizen telt al mee),,Iets ondernomen om aan andere woning te komen
1821,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid.,De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid
1822,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar ben ik mij meer betrokken gaan voelen bij de buurt waar ik woon,Voelt meer betrokken bij de buurt waar ik woon
1823, Wilt u bij verhuizing het liefst in uw wijk of buurt blijven wonen of liever elders?,,Blijft bij verhuizing in wijk/buurt wonen
1824,Kunt u zich goed redden als het gaat om:,administratie/financidn,Kan zich goed redden met administratie/financiën
1825,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het schoonhouden/onderhouden van de buurt.,Helpen met schoonhouden/onderhouden van de buurt
1826,Vindt u dat er de afgelopen jaren sprake is van een toename van overlast door mensen met verward gedrag in uw buurt?,4 antwoorden,
1827,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",familie,Kan terugvallen op familie
1828,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Om financiële redenen,Verhuisd om financiële redenen
1829,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Drugsdealpanden,Drugsdealpanden komen voor in de buurt
1830,Wat is de hoogste opleiding die u met een diploma heeft afgerond?,,Wat is de hoogste opleiding die u met een diploma heeft afgerond?
1831,Heeft u in de afgelopen 12 maanden het gevoel gehad oneerlijk of ongelijk behandeld te worden?,,Gevoel oneerlijk/ongelijk  behandeld te worden
1832,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Handicap / Chronische ziekte,Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht
1833,Wilt u zich opgeven voor,Digipanel,Opgegeven voor digipanel
1834,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Beschadiging of vernieling (aan uw huis of tuin),Slachtoffer geweest van beschadiging/vernieling aan huis/tuin
1835,Wat is voor u de belangrijkste reden om binnen twee jaar te willen verhuizen? ,Open antwoord bij gesloten vraag,
1836,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,"De gemeente betrekt burgers voldoende bij haar plannen, activiteiten en voorzieningen.","De gemeente betrekt burgers voldoende bij haar plannen, activiteiten en voorzieningen"
1837,Wat is de belangrijkste reden dat u niet wil verhuizen?,Open antwoord bij gesloten vraag,Belangrijkste reden om niet te verhuizen
1838,Waar of wanneer was dit? ,"Anders, namelijk",
1839,Voelt u zich medeverantwoordelijk voor de leefbaarheid en veiligheid in uw buurt? (herberekend zonder nvt),(herberekend zonder nvt/nee),Voelt medeverantwoordelijk voor de leefbaarheid en veiligheid van mijn buurt (herberekend zonder nvt)
1840,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Op de sportvereniging,Ontmoet de mensen uit mijn buurt bij de sportvereniging
1841,"Is uw buurt in de afgelopen 2 jaar veranderd wat betreft uiterlijk, sfeer en/of veiligheid?",De veiligheid,De veiligheid is veranderd in mijn buurt
1842,Kunt u zich goed redden als het gaat om:,uw psychische/geestelijke gezondheid,Kan zich goed redden met psychische/geestelijke gezondheid
1843,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Drugsgebruik of handel in drugs, bijvoorbeeld op straat of in coffeeshops",Drugsgebruik komt vaak voor in mijn buurt
1844,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Seksuele voorkeur (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op seksuele voorkeur (herberekend zonder nvt)
1845,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Levensovertuiging / religie / geloof,Gevoel oneerlijk/ongelijk behandeld te zijn op levensovertuiging/religie
1846,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Gezondheid / behoefte aan extra zorg,Verhuisd vanwege gezondheid / behoefte aan zorg
1847,Voelt u zich wel eens onveilig?,,Voelt zich wel eens onveilig
1848,Kunt u zich goed redden als het gaat om: ,"uw algemene dagelijkse activiteiten: wassen, aankleden, naar toilet gaan, eten, e.d. (herberekend zonder nvt)",Kan zich goed redden met algemene dagelijkse activiteiten (herberekend zonder nvt)
1849,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Zelfstandig gaan wonen,Verhuisd om zelfstandig te wonen
1850,"Heeft u of iemand in uw huishouden in de afgelopen 12 maanden te maken gehad met cyberpesten (roddel, getreiter, pesten, stalken, chantage of bedreiging via internet)?",Uw kind/(TTn van) uw kinderen,Kind(eren) te maken gehad met cyperpesten
1851,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Wil dichterbij ouders / kinderen gaan wonen,Verhuisd om dichterbij ouders / kinderen te gaan wonen
1852,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,,
1853,Krijgt u ergens hulp bij?,Uw lichamelijke gezondheid,Krijg hulp bij lichamelijke gezondheid
2018,Hoe prettig vindt u uw buurt om in te wonen?,,Prettig om in mijn buurt te wonen
1854,"In welke huurklasse valt uw huidige woning? bij huurwoningen gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag. ",,"In welke huurklasse valt uw huidige woning? bij huurwoningen gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag. "
1855,Heeft u voor uw woning:,Heeft u: afspraken over het ontvluchten van de woning bij brand,Afspraken over het ontvluchten van de woning bij brand
1856,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Inbraak in uw woning, met diefstal",Slachtoffer geweest van inbraak/diefstal in woning 
1857,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Vanwege studie / werk,Verhuisd vanwege studie/werken
1858,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Geslacht (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht (herberekend zonder nvt)
1859,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Identiteitsfraude,Identiteitsfraude voorgekomen in huishouden
1860,Waarom heeft u geen melding gedaan bij de gemeente?,Het helpt toch niets,Helpt toch niet om melding te doen bij de gemeente
1861,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente luistert naar de mening van haar burgers.,De gemeente luistert naar de mening van haar burgers
1862,Kunt u zich goed redden als het gaat om: ,de opvoeding van uw kinderen (herberekend zonder nvt),Kan zich goed redden met de opvoeding van kinderen (herberekend zonder nvt)
1863,De Gemeente Breda heeft een online burgerpanel: DigiPanel Breda. Een aantal keer per jaar wordt Bredanaars in een korte enquOte om hun mening gevraagd.,Open antwoord bij gesloten vraag,Mening Bredanaars
1864,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik neem deel aan een re-integratietraject.,Neem deel aan re-integratietraject
1865,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,sportmogelijkheden,Tevreden over aanbod sportmogelijkheden
1866,Waar of wanneer was dit? ,Bij het vinden van een (huur)huis,Oneerlijk/ongelijk behandeld bij vinden van een (huur)huis
1867,Waar of wanneer was dit? ,"Anders, namelijk (herberekend zonder nvt)","Anders, namelijk (herberekend zonder nvt)"
1868,Wat is uw postcode?,,Wat is uw postcode?
1869,Wat vindt u van de volgende stellingen over uw huidige woning?,De woning is te klein.,Woning is te klein
1870,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Overige diefstal,Slachtoffer geweest van overige diefstal
1871,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,"Online (Facebook, Instagram, Snapchat, etc.)",Ontmoet de mensen uit mijn buurt online
1872,Waarom heeft u geen melding gedaan bij de gemeente?,Uit angst voor reactie of wraak,Geen melding gedaan uit angst voor reactie of wraak
1873,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Ik wilde een koopwoning in plaats van huren,Verhuisd om een huis te kopen in plaats van te huren
1874, Wat voor woningtype heeft uw voorkeur als u gaat ?,Open antwoord bij gesloten vraag,
1875,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Melding gedaan bij de politie of alarmcentrale (112),Melding gedaan bij politie/alarmcentrale bij personen die overlast veroorzaken in de buurt
1876,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer vertrouwen gekregen in mezelf,Meer vertrouwen gekregen in mezelf
1877,Bent u iemand dieàà,"gemakkelijk vrienden, familie of kennissen inschakelt als dat nodig is",Schakelt makkelijk vrienden/familie/kennissen in
1878,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,(Leden van) Motorbendes,(Leden van) motorbendes komen voor in de buurt
1879,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,(Straat)Prostitutie,(Straat)prostitutie komen voor in de buurt
1880,"Is uw huidige woning geschikt om zelfstandig te blijven wonen als u, bijv. door ouderdom, lichamelijke beperkingen heeft?",,Woning  geschikt om zelfstandig  te blijven wonen
1881,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Ik heb nauwelijks/geen contact met mensen uit mijn buurt,Heb nauwelijks/geen contact met mensen uit mijn buurt
1882,Waar of wanneer was dit? ,Op straat in mijn buurt (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op straat in mijn buurt (herberekend zonder nvt)
1883,Heeft u in het afgelopen jaar een melding bij de gemeente gedaan van een probleem op het gebied van leefbaarheid of veiligheid?,"Ja, ik heb een medling gedaan + 6 andere antwoorden",
1884,Krijgt u ergens hulp bij?,"Het lopen, zitten en gaan staan","Krijg hulp bij het lopen, zitten en gaan staan"
1885,Kunt u zich goed redden als het gaat om: ,huishoudelijke taken (herberekend zonder nvt),Kan zich goed redden met huishoudelijke taken (herberekend zonder nvt)
1886,Kunt u zich goed redden als het gaat om:,"het lopen, zitten en gaan staan","Kan zich goed redden met het lopen, zitten en gaan staan"
1887,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),"Melding gedaan bij een andere organisatie: GGD Meldpunt Zorg & Overlast, crisisdienst, wijkteam, zorginstelling","Melding gedaan bij  ondere organisatie: GGD, Meldpunt Zorg & Overlast, crisisdienst, wijkteam, zorginstelling"
1888,Kunt u zich goed redden als het gaat om:,het aangaan en onderhouden van sociale contacten,Kan zich goed redden met het aangaan en onderhouden van sociale contacten
1889,Kunt u via een rapportcijfer aangeven hoe tevreden u bent over de wijze waarop de gemeente zich inzet voor de leefbaarheid en veiligheid bij u in de buurt?,,Rapportcijfer inzet gemeente voor de leefbaarheid en veiligheid in de buurt
1890,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Vrouwen en meisjes die op straat worden nagefloten, nageroepen, of op een andere manier ongewenst aandacht krijgen",Ongewenste aandacht op straat
1891,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,"hulp aan buren (helpen met klussen, boodschap e.d.)",Geef hulp aan buren
1892,Kunt u rondkomen met het totale netto-inkomen van uw huishouden?,,Kan rondkomen met het totale netto-inkomen van mijn huishouden
1893,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik zou niet zo snel weggaan uit deze buurt.,Gaat niet snel weg uit deze buurt
1894,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Seksuele voorkeur,Gevoel oneerlijk/ongelijk behandeld te zijn op seksuele voorkeur
1895,Kunt u rondkomen met het totale netto-inkomen van uw huishouden?,,Kan rondkomen met het totale netto-inkomen van mijn huishouden
1896,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,In het buurthuis/gemeenschapshuis,Ontmoet de mensen uit mijn buurt in het buurthuis/gemeenschapshuis
1897,Kunt u via een rapportcijfer aangeven hoe tevreden u bent over de wijze waarop de gemeente zich inzet voor de leefbaarheid en veiligheid bij u in de buurt?,,Rapportcijfer inzet gemeente voor de leefbaarheid en veiligheid in de buurt
1898, Wilt u bij verhuizing het liefst in uw wijk of buurt blijven wonen of liever elders?,,Blijft bij verhuizing in wijk/buurt wonen
1899,Heeft u het afgelopen jaar iets ondernomen om aan een andere woning te komen? (zelfs advertenties lezen en nagaan wat u zou willen bij verhuizen telt al mee),,Iets ondernomen om aan andere woning te komen
1900,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Levensovertuiging / religie / geloof,Gevoel oneerlijk/ongelijk behandeld te zijn op levensovertuiging/religie
1901,Waar of wanneer was dit? ,In café / restaurant of ander uitgaansgelegenheid (herberekend zonder nvt),Oneerlijk/ongelijk behandeld in café/restaurant of ander uitgaangsgelegenheid (herberekend zonder nvt)
1902,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer vertrouwen gekregen in de toekomst,Meer vertrouwen gekregen in de toekomst
1903,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,mantelzorg aan een vriend of vriendin die niet in uw buurt woont,Geef mantelzorg aan vriend(in) die niet in mijn buurt woont
1904,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Verkoopfraude,Verkoopfraude voorgekomen in huishouden
1905,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik studeer/volg een opleiding/zit op school.,Studeer/volg een opleiding/zit op school
1906,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar ben ik meer gaan sporten,Meer gaan sporten
1907,"Welk buurthuis, dorps- of wijkcentrum heeft u vooral bezocht (afgelopen 12 maanden)?",,"Welk buurthuis, dorps- of wijkcentrum heeft u vooral bezocht?"
1908,Heeft u voor uw woning:,Heeft u: een inbraak-alarminstallatie,Inbraak-alarminstallatie voor mijn woning
1909,Bent u iemand dieàà,opziet tegen veranderingen,Ziet op tegen veranderingen
1910,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Ergens anders:,Ontmoet de mensen uit mijn buurt ergens anders
1911,Heeft u het afgelopen jaar vrijwilligerswerk gedaan?,,Heeft vrijwilligerswerk gedaan
1912,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Rondhangende jongeren,Rondhangende jongeren komt (soms) vaak voor in mijn buurt
1913,Kunt u zich goed redden als het gaat om:,boodschappen doen,Kan zich goed redden met boodschappen doen
1914,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Om financiële redenen,Verhuisd om financiële redenen
1915,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Wil dichterbij ouders / kinderen gaan wonen,Verhuisd om dichterbij ouders / kinderen te gaan wonen
1916,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Overige (vrijetijds)vereniging,Actief bij overige (vrijetijds)vereniging
1917,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Vanwege de woning zelf,Verhuisd vanwege de woning  zelf
1918,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,mantelzorg aan een vriend of vriendin die niet in uw buurt woont,Geef mantelzorg aan vriend(in) die niet in mijn buurt woont
1919,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de kwaliteit van de woningen,Tevreden over kwaliteiten van de woningen
1920,"Welk buurthuis, dorps- of wijkcentrum heeft u vooral bezocht (afgelopen 12 maanden)?",,"Welk buurthuis, dorps- of wijkcentrum heeft u vooral bezocht?"
1921,In welk soort woonomgeving woont u op dit moment?,Open antwoord bij gesloten vraag,
1922,Wilt u zich opgeven voor,Digipanel,Opgegeven voor digipanel
1923,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Religieuze of maatschappelijke vereniging,Actief bij religieuze of maatschappelijke vereniging
1924,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Uitbuiting van mensen/mensenhandel,Uitbuiting van mensen/mensenhandel komen voor in de buurt
1925,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Bedrijven die crimineel geld legaal maken (witwaspraktijken),Bedrijven die crimineel geld legaal maken komt voor in mijn buurt
1926,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Ik ben niet actief geweest in het verenigingsleven,Niet actief in verenigingsleven
1927,Deze vraag gaat over uw inkomen. In welke categorie valt het netto inkomen per maand van uw huishouden?  Dat is het netto inkomen per maand waarover het huishouden van u en uw eventuele partner beschikt. Het inkomen van eventuele kinderen telt niet mee.,6 antwoorden,
1928,Kunt u zich goed redden als het gaat om:,uw lichamelijke gezondheid,Kan zich goed redden met lichamelijke gezondheid
1929,In wat voor type woning woont u?,In wat voor type woning woont u?,Type woning
1930,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Slechte dienstverlening verhuurder,Verhuisd vanwege slechte dienstverlening verhuurder
1931,Waar of wanneer was dit? ,Op School / opleiding / stage,Oneerlijk/ongelijk behandeld op school/opleiding/stage
1932,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,gezondheidszorgvoorzieningen,Tevreden over aanbod gezondheidszorgvoorzieningen in de buurt
1933,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar ben ik mij meer betrokken gaan voelen bij de buurt waar ik woon,Voelt meer betrokken bij de buurt waar ik woon
1934,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Herkomst / Huidskleur (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op herkomst/huidskleur (herberekend zonder nvt)
1935,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Leeftijd,Gevoel oneerlijk/ongelijk behandeld te zijn op leeftijd
1936,Waarom heeft u geen melding gedaan bij de gemeente?,Uit angst voor reactie of wraak,Geen melding gedaan uit angst voor reactie of wraak
1937,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de verkeersveiligheid in de buurt,Tevreden over de verkeersveiligheid in buurt
